customer_id,first_name,last_name,email,phone_number,iban,address,city,country,risk_tier,created_at
510dd072-8b5d-4b16-b531-04c3ae95b682,Lucie,Marie,traorerobert@example.org,+33 2 69 18 19 60,FR9601338908386379402654235,"rue Agathe Barre, 77370 Sainte Élise",Sainte Édouard-la-Forêt,FR,LOW,2026-04-24 22:04:12.054001
73058486-b3ff-4621-84f2-7890a588d2d7,Laure,Étienne,marysemuller@example.org,+33 4 43 13 16 47,FR1552553419283276483503056,"boulevard Wagner, 40317 Delaunaydan",Aubry,FR,LOW,2024-12-07 01:16:38.261724
9d607856-a351-48fb-acce-c6fa50896112,Noémi,Guilbert,oceane96@example.net,04 94 32 87 10,FR5912269166978480184514627,"38, rue de Toussaint, 38961 Raynaud-sur-Mer",Besson,FR,LOW,2026-03-07 01:19:08.030241
2eb334bd-ede1-4322-801c-ef13e3848f7e,Élodie,Merle,josephtristan@example.com,+33 (0)2 47 54 30 39,FR9111718227824896383465787,"61, boulevard Lenoir, 29702 Robert",Saint MichelBourg,FR,LOW,2026-06-19 10:44:04.639102
8adf5ad1-c484-4912-a2dd-041f62cdba96,Vincent,Guérin,rogerlaroche@example.com,+33 2 57 99 73 76,FR2631165667010651333872624,"8, rue de Girard, 83653 Saint Odette",Brun,FR,MEDIUM,2025-06-19 22:24:06.266990
6fc2c57b-3777-41e7-8d15-0d177b5ba05b,Christine,Benoit,klopez@example.com,+33 (0)5 34 47 46 87,FR5923430980500978820812191,"4, boulevard de Fournier, 79183 Descampsboeuf",Martins,FR,LOW,2025-12-29 06:39:35.556308
a197a1a2-efca-4c2a-b3f3-fde7669df9f7,Thomas,Dupuis,anastasie24@example.com,0221079911,FR7283842513542784980841241,"524, rue de Wagner, 43308 Bodin",DeschampsVille,FR,MEDIUM,2024-11-02 11:28:40.757631
6e44981e-60f3-4e4c-a6a8-83026487b950,Audrey,Baron,bernardxavier@example.org,0299786801,FR3212805982620450533158692,"16, chemin Bouchet, 85984 Da Costa",Boutin,FR,LOW,2024-11-14 00:25:34.290305
f73ec147-fde1-4cc4-9f4d-501705319aff,Auguste,Lelièvre,lucjacques@example.com,0370303654,FR6714586850142940196556981,"14, avenue de Martin, 66925 Torres-sur-Mer",Perret,FR,LOW,2024-10-17 04:05:34.169254
de6a59a6-1061-4e03-8386-26befebe7c0a,Margot,Rémy,margaud14@example.net,0555564823,FR0866299468044369957773872,"295, chemin Jean, 25250 Saint Patrick",BourdonBourg,FR,LOW,2025-07-25 17:28:59.591404
74779cb9-8ca2-426e-ac31-6e95fe04fd8a,Louise,Bruneau,michellegrenier@example.com,05 46 32 01 63,FR6628708317278895798687277,"88, rue de Paris, 56179 Huet",Daniel,FR,LOW,2025-04-17 14:20:24.894530
81fc1425-7b34-439b-bf72-6b7988220705,Élodie,Faure,henrigrondin@example.com,+33 3 63 16 65 87,FR6760366909670546688937346,"chemin Marguerite Potier, 51841 Bigot",Loiseau,FR,LOW,2025-09-21 05:20:40.737038
55d19539-0f59-4da4-b3e5-3659e2d0f5bd,Anaïs,Allain,perezlucy@example.com,+33 6 35 20 46 53,FR6475564641708053100330923,"4, chemin Pauline Tessier, 21720 Letellier-sur-Wagner",Saint ThierryBourg,FR,LOW,2025-10-23 18:34:06.662050
1e3c449c-e0f1-4050-939b-761ffd63879b,Thierry,Bruneau,tchauvin@example.org,+33 (0)3 81 14 91 90,FR9358651850671657262849877,"445, chemin Lebreton, 31868 Colasnec",Leroy,FR,LOW,2025-08-23 03:17:23.675381
21e3e63c-b750-447c-8120-953d419c3ea9,Victor,Vidal,wlecomte@example.com,0432948083,FR5613678377701436349578856,"54, rue Georges Mace, 24423 Saint Léon-sur-Mer",Baron-la-Forêt,FR,LOW,2026-08-13 07:11:14.221398
5f29dbd4-e29d-4989-b8a2-9cd7fe52818b,Victoire,Leclercq,michel52@example.com,+33 (0)2 54 40 08 42,FR6171094777520471167190229,"rue Pascal, 97263 Godard-sur-Maurice",Diallo,FR,LOW,2025-09-12 18:50:11.063910
1983d7bc-227c-4728-b6f4-23ba5286a38f,Catherine,Pichon,jacqueline64@example.net,+33 (0)2 38 33 41 23,FR5928120679740344713493618,"34, rue Gaillard, 39709 Hervé-sur-Navarro",Sainte Marie-la-Forêt,FR,LOW,2026-01-20 04:44:26.334172
d8e888c5-1ac3-478d-a33b-838a9f469223,Richard,Charrier,fnavarro@example.net,+33 (0)5 81 59 40 13,FR9099049027874296717565512,"74, rue de De Sousa, 12422 Breton",Sainte DeniseVille,FR,LOW,2025-12-20 11:07:54.387812
7a7ead50-0fb2-41c3-9e8e-0afb61b3fd3f,Élodie,Pinto,mvincent@example.net,0807034824,FR6477109324808613171274846,"97, avenue Aubert, 76620 Muller",Leleu,FR,MEDIUM,2026-03-27 03:21:17.047680
bf891fcd-2579-4c76-b435-e4615566b93c,Arnaude,Leblanc,valentine04@example.net,0752787558,FR2686753396360576627028951,"avenue de Garcia, 92247 Bègue-les-Bains",Sainte Sabine-la-Forêt,FR,LOW,2025-05-01 08:50:18.965590
bf55ff92-3ad4-4982-a89d-cd2103626b5d,Marine,Chauvin,boulangerdominique@example.net,04 71 78 09 13,FR9543161172400504556238692,"7, rue de Mahe, 74246 Pinto",Jacques,FR,MEDIUM,2025-03-01 13:36:39.046255
a49887fa-f5ac-4e19-8d94-19b084da98cc,Alain,Turpin,margaret82@example.org,04 85 94 64 74,FR4436713695944064090974395,"59, rue de Techer, 13742 Sainte Simone",Fontaineboeuf,FR,LOW,2026-02-13 00:43:31.707760
7b1bbd35-d4b6-4178-8a1e-6658a9e12cd7,Éric,Collet,oceane62@example.org,+33 4 97 88 42 47,FR8545171236851604817549651,"9, boulevard Matthieu Jourdan, 09750 Bonnin-la-Forêt",Ferreira-les-Bains,FR,LOW,2024-09-29 04:20:38.687182
791cdc03-8a3c-4087-8509-041179554ec8,Auguste,Bailly,gferreira@example.org,+33 5 33 75 86 92,FR4661796405377351585064317,"19, chemin Berger, 17905 Leclerc-sur-Muller",Guillaume-sur-Mer,FR,LOW,2026-04-12 23:24:00.558501
eb6dee82-efc8-4860-bff2-a68f9d6fc57e,Nicolas,Boulanger,simonegodard@example.org,0277284210,FR1620539502402681177589178,"9, avenue Lucy Martinez, 08590 LaunayBourg",Mendèsdan,FR,HIGH,2024-10-19 17:44:58.231786
e8b8a068-5a5d-4465-8180-cd2a76c9313b,Édouard,Lebrun,christophemarchand@example.com,0524984789,FR4461183673657661565452711,"rue Noémi Rousset, 47931 Berthelot",Sainte Marguerite,FR,LOW,2024-11-24 08:14:44.805749
f6f63391-1c22-4df2-b832-649373b309f9,Adrienne,Chartier,dmace@example.com,0489198327,FR8731585149368998094024455,"79, rue Traore, 81131 Saint Alexandrianec",Leblanc-les-Bains,FR,LOW,2025-05-24 08:56:19.490561
